image,framework,runtime_sec,confidence
blurry.jpg,Tesseract,0.326,N/A
blurry.jpg,EasyOCR,10.521,0.9001
blurry.jpg,PaddleOCR,1.157,0.974
blurry.jpg,TrOCR,8.768,N/A
clean.jpg,Tesseract,0.328,N/A
clean.jpg,EasyOCR,9.995,0.8377
clean.jpg,PaddleOCR,0.527,0.9923
clean.jpg,TrOCR,2.486,N/A
handwritten.jpeg,Tesseract,0.596,N/A
handwritten.jpeg,EasyOCR,14.58,0.4443
handwritten.jpeg,PaddleOCR,0.894,0.855
handwritten.jpeg,TrOCR,20.348,N/A
non_english.jpg,Tesseract,0.297,N/A
non_english.jpg,EasyOCR,7.046,0.3598
non_english.jpg,PaddleOCR,0.992,0.6204
non_english.jpg,TrOCR,3.098,N/A
rotated.jpg,Tesseract,0.283,N/A
rotated.jpg,EasyOCR,17.962,0.9436
rotated.jpg,PaddleOCR,1.159,0.9951
rotated.jpg,TrOCR,11.647,N/A
